starringid,movieid,actorid
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,2,1
7,2,2
8,2,3
9,2,4
10,2,5
11,3,1
12,3,2
13,3,3
14,3,4
15,3,5
16,4,1
17,4,2
18,4,3
19,4,4
20,4,5
21,5,1
22,5,2
23,5,3
24,5,4
25,5,5
26,6,1
27,6,2
28,6,3
29,6,4
30,6,5
31,7,1
32,7,2
33,7,3
34,7,4
35,7,5
36,8,1
37,8,2
38,8,3
39,8,4
40,8,5
41,9,6
42,9,7
43,9,8
44,9,9
45,9,10
46,10,6
47,10,7
48,10,8
49,10,9
50,10,10
51,11,6
52,11,7
53,11,8
54,11,9
55,11,10
56,12,11
57,12,12
58,12,13
59,12,14
60,12,15
61,13,11
62,13,12
63,13,13
64,13,14
65,13,15
66,14,11
67,14,12
68,14,13
69,14,14
70,14,15
71,15,16
72,15,17
73,15,18
74,15,19
75,15,20
76,16,16
77,16,17
78,16,18
79,16,19
80,16,20
81,17,16
82,17,17
83,17,18
84,17,19
85,17,20
86,18,21
87,18,22
88,18,23
89,18,24
90,18,25
91,19,21
92,19,22
93,19,23
94,19,24
95,19,25
96,20,21
97,20,22
98,20,23
99,20,24
100,20,25
101,21,21
102,21,22
103,21,23
104,21,24
105,21,25
106,22,26
107,22,27
108,22,28
109,22,29
110,23,30
111,23,31
112,23,32
113,23,33
114,24,34
115,24,35
116,24,36
117,24,37
118,25,34
119,25,35
120,25,36
121,25,37
